Transformador,Frecuencia (Hz),PSD (Power)
10023,0.083984375,6220.33047067056
10023,0.0849609375,2377.12081387674
10023,0.0859375,330.303108133777
10023,0.0869140625,43.846008482229
10023,0.087890625,59.6390371192645
10023,0.0888671875,88.4878521578964
10023,0.08984375,83.4538521657363
10023,0.0908203125,50.6352064608206
10023,0.091796875,28.9385106222214
10023,0.0927734375,28.6945504814946
10023,0.09375,31.2683404587981
10023,0.0947265625,37.1576005894277
10023,0.095703125,38.610438454107
10023,0.0966796875,36.2614528579947
10023,0.09765625,33.8334849571604
10023,0.0986328125,35.1149498989502
10023,0.099609375,34.7708632279255
10023,0.1005859375,36.6048926566097
10023,0.1015625,35.0165240716832
10023,0.1025390625,31.1306570373352
10023,0.103515625,28.4126861565003
10023,0.1044921875,30.7478867809204
10023,0.10546875,25.6435141528483
10023,0.1064453125,21.4180215365835
10023,0.107421875,22.0119437672502
10023,0.1083984375,23.8579520793675
10023,0.109375,22.7428682366403
10023,0.1103515625,23.8260614688447
10023,0.111328125,29.0282881960407
10023,0.1123046875,39.9646862839844
10023,0.11328125,42.1212510072665
10023,0.1142578125,33.7076323545203
10023,0.115234375,25.4381814928987
10023,0.1162109375,23.9036652582599
10023,0.1171875,21.8341456752564
10023,0.1181640625,24.9171657866431
10023,0.119140625,27.8243268587545
10023,0.1201171875,26.5999651148841
10023,0.12109375,25.1735673028842
10023,0.1220703125,82.8143737269034
10023,0.123046875,606.752492675273
10023,0.1240234375,2037.91927400192
10023,0.125,3065.29923217098
10023,0.1259765625,2105.53118650665
10023,0.126953125,598.074729567336
10023,0.1279296875,71.7213388852308
10023,0.12890625,29.0992175834935
10023,0.1298828125,34.4276783150474
10023,0.130859375,39.6392529444074
10023,0.1318359375,33.9041616736626
10023,0.1328125,22.6554247270535
10023,0.1337890625,20.0579554022653
10023,0.134765625,20.7213563041323
10023,0.1357421875,23.5959232101088
10023,0.13671875,22.0820533734625
10023,0.1376953125,21.9687556935336
10023,0.138671875,21.2145599620539
10023,0.1396484375,24.0886121211493
10023,0.140625,23.6535255328551
10023,0.1416015625,23.6117765586656
10023,0.142578125,22.6975058121423
10023,0.1435546875,21.2493138496826
10023,0.14453125,16.8221984109782
10023,0.1455078125,17.416856682967
10023,0.146484375,17.6430536450225
10023,0.1474609375,17.8914256755485
10023,0.1484375,20.5620036468864
10023,0.1494140625,24.0035895307413
10023,0.150390625,21.8625307003077
10023,0.1513671875,21.1118961415385
10023,0.15234375,19.9678024101776
