Value,Type
28.25,Original
28.40999999999999,Original
28.710000000000004,Original
29.95,Original
32.84,Original
33.01,Original
32.609999999999985,Original
34.84,Original
39.16000000000001,Original
46.21,Original
44.2,Original
41.52,Original
39.69,Original
40.66,Original
40.96000000000001,Original
34.80000000000001,Original
33.480000000000004,Original
33.13999999999999,Original
33.120000000000005,Original
32.23,Original
28.950000000000003,Original
29.02000000000001,Original
28.74,Original
28.940000000000005,Original
31.63000000000001,Original
30.960000000000004,Original
34.95,Original
46.68000000000001,Original
51.81999999999999,Original
97.67,Original
130.79000000000002,Original
133.01,Original
135.58,Original
134.92,Original
142.42000000000004,Original
140.85000000000002,Original
129.46,Original
117.66000000000004,Original
86.81999999999998,Original
51.98,Original
33.68,Original
31.24000000000001,Original
31.370000000000008,Original
29.83000000000001,Original
31.24,Original
31.105000000000004,Original
32.580000000000005,Original
32.76,Original
36.15,Original
35.18999999999999,Original
36.94,Original
40.86000000000001,Original
53.690000000000005,Original
90.86000000000004,Original
125.30000000000004,Original
128.86,Original
128.81000000000003,Original
125.83,Original
134.14,Original
134.48000000000002,Original
124.09999999999998,Original
111.65000000000002,Original
86.47000000000001,Original
58.03999999999999,Original
46.95,Original
45.610000000000014,Original
38.93999999999999,Original
36.78,Original
35.11000000000001,Original
38.00200000000001,Original
31.838000000000008,Original
32.188,Original
34.48800000000001,Original
35.62800000000001,Original
35.998000000000005,Original
40.258,Original
53.018,Original
92.088,Original
123.34800000000004,Original
128.328,Original
129.90799999999996,Original
123.48799999999996,Original
131.68800000000002,Original
132.81799999999998,Original
122.758,Original
108.278,Original
79.208,Original
51.458000000000006,Original
37.998,Original
35.618,Original
35.888000000000005,Original
32.948,Original
36.838,Original
36.328,Original
34.23800000000001,Original
32.058,Original
34.047999999999995,Original
34.43800000000002,Original
35.75800000000001,Original
39.901,Original
50.71000000000001,Original
90.54000000000003,Original
120.21,Original
123.26,Original
126.11,Original
124.69000000000004,Original
135.18,Original
131.98999999999998,Original
120.91,Original
105.81,Original
82.11,Original
54.72,Original
42.74,Original
36.50000000000001,Original
34.04,Original
32.33,Original
30.790000000000003,Original
32.02,Original
29.12,Original
29.419999999999995,Original
31.53,Original
32.39,Original
33.11000000000001,Original
37.09000000000001,Original
53.0,Original
89.15000000000002,Original
115.01,Original
121.3,Original
122.23000000000005,Original
122.95,Original
128.25000000000003,Original
125.37,Original
110.68,Original
90.01,Original
58.13,Original
43.99,Original
32.43999999999999,Original
32.22,Original
36.22,Original
29.98,Original
28.989999999999995,Original
28.79,Original
28.75,Original
28.390000000000008,Original
29.21,Original
29.26,Original
28.86000000000001,Original
